"value","latitude","longitude"
1,43.0833333333,41
1,5.5,95.5
1,34.9166666667,-107.583333333
1,-31,22
-1,43,143
1,-4.66666666667,143.333333333
1,-22.5,135
-1,-3.83333333333,143
1,-5.25,145.583333333
-1,8,33.5
1,26.5833333333,94.6666666667
1,0,-54
1,-9,-67
1,-28.25,136.25
1,30,31
-1,26,49
1,-3.46666666667,143.166666667
1,-24,136
1,6.11666666667,10.4166666667
-1,12.8333333333,10.5
-1,2.58333333333,13.5833333333
1,-0.166666666667,-70.6666666667
1,43,-3
-1,32.5,-1.5
-1,36.5,74.5
-1,30.1666666667,80.5
1,-6,-46
1,23,113
1,13.45,144.75
-1,17.3333333333,-95.9166666667
1,67,-173
1,33.5,-101.5
1,54,-110
1,1.33333333333,-70.5
1,50,15
1,42.25,47.4166666667
1,-18.75,128
1,27,109
1,-21,167.25
1,-17.8333333333,145.583333333
1,5.16666666667,6.38333333333
1,52,0
-1,3,-77
1,56,125
1,4,12
1,-17.8333333333,178
1,62,25
-1,48,2
1,-19.5333333333,170.216666667
-1,42,44
1,52,10
1,39,22
1,64,-51
-1,-26,-56
1,-15,144.833333333
-1,49.25,-121.916666667
1,12,7
1,19.5833333333,-155.5
1,31.5,34.8333333333
1,-1,-59
1,28,105
1,47,20
-1,42.1666666667,46.25
1,-3.33333333333,141.166666667
1,0,106
1,63,-92
-1,-4,35.5
1,53,-8
1,43,12
-1,37,140
-1,43.5,43.5
-1,36.5,5
1,-3.33333333333,143.583333333
1,-9.83333333333,120.166666667
-1,14,76
1,-20,31
1,34,76
1,-17.05,139.5
1,9.83333333333,15.0833333333
-1,64,87
-1,47,105
1,25.5,92
-1,10.3333333333,13.1666666667
1,-8.5,151.083333333
1,37,-99
1,8.83333333333,-10.1666666667
1,42.5,-121.5
1,34.8333333333,-85.1666666667
1,-5.16666666667,144.333333333
-1,24.3333333333,92.5
-1,37.5,128
1,14.25,-0.916666666667
1,5.3,163
1,16,0
1,10.5,30
-1,14.5,37
1,49.5,-116
1,10.4166666667,11
1,43.8333333333,-101.833333333
-1,2.16666666667,33
1,57,24
-1,-9.08333333333,159.2
-1,41.6666666667,47.8333333333
-1,27.1666666667,87.75
1,55,24
-1,-0.5,34.75
1,4,-60
1,48.3333333333,-124.666666667
1,-20,47
-1,10,76.5
1,35.9166666667,14.4166666667
-1,15,-91.8333333333
1,34,110
1,-40,176
-1,-38,-72
1,19,76
-1,11,13
1,33.1666666667,-113.166666667
1,7.11666666667,171.05
1,-20.8333333333,116.5
1,-11.9166666667,133.5
1,-1.33333333333,132.5
1,24.75,94
1,37.5,-120
1,10.9166666667,9.66666666667
1,34.6666666667,-114.583333333
-1,25,108
-1,0.25,35
1,36.1666666667,-108
-1,4.5,-54.5
1,46,-116
1,-14.25,134
1,1.33333333333,30.25
1,-31.75,145.5
-1,12.0833333333,10.9166666667
-1,53.3333333333,142
1,-0.916666666667,29.8333333333
1,23,33
1,21.9166666667,106.416666667
1,-13.75,135.666666667
1,43,-75.6666666667
1,9,42
1,-32.5,142.5
1,37.8333333333,-113.333333333
1,22.5,120.833333333
-1,15.9166666667,120.333333333
1,31,74
1,45,-67
1,-6,-64
-1,32,54
1,13.8333333333,-89.5833333333
1,-7,-62
-1,6.88333333333,158.25
1,-9.5,-75.5
1,-27.1166666667,-109.366666667
1,-0.5,-70.6666666667
1,56,38
1,-13.9166666667,-171.833333333
1,3,103
1,67,-125
-1,2.58333333333,34.75
-1,3,45
1,40,-4
1,11.5,-5.58333333333
1,-6.5,39
1,60,15
1,15,121
-1,11,78.5
-1,31,-5
-1,-5.75,145.333333333
1,-11.5,131
-1,-21.1666666667,-175.166666667
1,-11.9166666667,-53.5833333333
1,-5.5,123.5
-1,39,35
1,36,-77.5
1,-8.5,179.166666667
1,14.6666666667,-91.3333333333
1,37,-117
-1,47.6666666667,136.25
1,25,67
1,-3.58333333333,142.666666667
1,-2.33333333333,-46.5
1,39,-109
1,-18.6666666667,135.75
-1,9.33333333333,-61.6666666667
1,-15.5,131
1,1.5,-67.5
-1,-11.3333333333,-65
1,-18.5833333333,146.083333333
1,-26,117.5
-1,52,-3
1,33.3333333333,-97.3333333333
-1,6.83333333333,37.75
-1,-6.33333333333,145.416666667
1,-3.5,-72
1,-27,132
1,-4.66666666667,143.55
1,8,4.33333333333
-1,65.75,150.833333333
1,65,-173
