iteration,feature,no_of_iterations,no_of_languages,no_of_features,branching_rate,voter_rate,ingress_rate,egress_rate,horiz_ingress_rate,horiz_egress_rate,rho,sigma,tau,tau_predicted,tau_predicted_lambda
50000000,1,50000000,2500,50,0,0.9,0.0561531,0.421677,0.176269,0.155074,0.49,0.4096,0.603501,0.0530922,0.574936
50000000,2,50000000,2500,50,0,0.9,0.233754,0.417976,0.461039,0.279519,0.6152,0.4508,4.28315,0.0724145,3.13354
50000000,3,50000000,2500,50,0,0.9,0.213135,0.00123003,0.112745,0.0213671,0.8648,0.1704,0.236939,0.0238184,0.182391
50000000,4,50000000,2500,50,0,0.9,0.323638,0.488343,0.153163,0.431611,0.2752,0.3636,1.93076,0.0902201,1.62561
50000000,5,50000000,2500,50,0,0.9,0.413234,0.213696,0.0946377,0.246496,0.356,0.362,0.438192,0.0696588,0.623485
50000000,6,50000000,2500,50,0,0.9,0.200007,0.146208,0.159229,0.145725,0.5076,0.408,0.58167,0.0384683,0.494099
50000000,7,50000000,2500,50,0,0.9,0.110758,0.43135,0.245517,0.11061,0.6224,0.3848,0.597968,0.0602343,0.646651
50000000,8,50000000,2500,50,0,0.9,0.0171931,0.433763,0.24099,0.124847,0.5784,0.4072,0.713979,0.0501062,0.655892
50000000,9,50000000,2500,50,0,0.9,0.352357,0.0917066,0.0766412,0.294713,0.2952,0.3468,0.702562,0.0493404,0.669207
50000000,10,50000000,2500,50,0,0.9,0.391512,0.0738005,0.118164,0.271514,0.3552,0.3932,0.939068,0.0517014,0.723193
50000000,11,50000000,2500,50,0,0.9,0.195577,0.15892,0.0984064,0.15641,0.3996,0.374,0.395057,0.0393885,0.394809
50000000,12,50000000,2500,50,0,0.9,0.377186,0.0219341,0.187766,0.200398,0.5196,0.4252,0.866351,0.0443467,0.706908
50000000,13,50000000,2500,50,0,0.9,0.0544037,0.234791,0.203073,0.397874,0.336,0.402,1.64711,0.0321327,1.58646
50000000,14,50000000,2500,50,0,0.9,0.127472,0.244315,0.0535324,0.333724,0.1752,0.2424,0.745911,0.0413096,0.699422
50000000,15,50000000,2500,50,0,0.9,0.220862,0.0283397,0.114942,0.0297341,0.8348,0.1944,0.186478,0.0276891,0.201521
50000000,16,50000000,2500,50,0,0.9,0.0456488,0.345666,0.0551393,0.284964,0.1428,0.2,0.585702,0.0434794,0.581277
50000000,17,50000000,2500,50,0,0.9,0.480403,0.158437,0.18503,0.379817,0.3632,0.4116,1.40512,0.0709822,1.46116
50000000,18,50000000,2500,50,0,0.9,0.296625,0.172605,0.370457,0.401614,0.482,0.4752,4.22438,0.0521367,3.61606
50000000,19,50000000,2500,50,0,0.9,0.260409,0.285673,0.203036,0.406483,0.332,0.4016,1.76086,0.0606758,1.71633
50000000,20,50000000,2500,50,0,0.9,0.288016,0.107064,0.0659899,0.36732,0.196,0.2608,0.658691,0.0438978,0.842096
50000000,21,50000000,2500,50,0,0.9,0.0103175,0.470625,0.267671,0.44097,0.3612,0.4256,2.31066,0.053438,2.6156
50000000,22,50000000,2500,50,0,0.9,0.323478,0.0606466,0.239028,0.0157781,0.9252,0.1076,0.386953,0.0426805,0.399208
50000000,23,50000000,2500,50,0,0.9,0.31542,0.31816,0.377149,0.262441,0.5844,0.4484,2.34821,0.0703977,1.96995
50000000,24,50000000,2500,50,0,0.9,0.234732,0.401358,0.000329636,0.32775,0.0688,0.1032,0.518408,0.0706766,0.593458
50000000,25,50000000,2500,50,0,0.9,0.278071,0.0678054,0.298453,0.351502,0.4872,0.45,1.63954,0.0384307,1.96656
50000000,26,50000000,2500,50,0,0.9,0.104085,0.332641,0.0411758,0.171874,0.204,0.2368,0.238033,0.0485251,0.33239
50000000,27,50000000,2500,50,0,0.9,0.483305,0.489113,0.454556,0.130641,0.7344,0.3528,1.7327,0.108046,1.67126
50000000,28,50000000,2500,50,0,0.9,0.367786,0.231184,0.104512,0.115356,0.5448,0.3728,0.298296,0.0665523,0.367142
50000000,29,50000000,2500,50,0,0.9,0.266318,0.383937,0.348199,0.496441,0.42,0.4756,9.52353,0.0722506,5.90171
50000000,30,50000000,2500,50,0,0.9,0.266978,0.253465,0.169208,0.228826,0.4412,0.4168,0.804805,0.057827,0.757285
50000000,31,50000000,2500,50,0,0.9,0.191038,0.449489,0.455692,0.182003,0.6784,0.3944,1.72077,0.0711696,1.95654
50000000,32,50000000,2500,50,0,0.9,0.454798,0.364968,0.229233,0.149683,0.6004,0.4112,0.921927,0.091085,0.756745
50000000,33,50000000,2500,50,0,0.9,0.417,0.321985,0.0552856,0.438067,0.1788,0.2556,1.08819,0.0821094,1.13582
50000000,34,50000000,2500,50,0,0.9,0.364971,0.335775,0.376203,0.0925839,0.7552,0.3152,0.874368,0.0778606,1.02906
50000000,35,50000000,2500,50,0,0.9,0.385758,0.222439,0.233656,0.11658,0.6716,0.3684,0.717275,0.0675775,0.643022
50000000,36,50000000,2500,50,0,0.9,0.151069,0.189453,0.282986,0.0224995,0.866,0.1824,0.42234,0.0378358,0.494332
50000000,37,50000000,2500,50,0,0.9,0.244606,0.0781759,0.224723,0.0051425,0.95,0.0736,0.377275,0.0358647,0.345045
50000000,38,50000000,2500,50,0,0.9,0.36556,0.194401,0.384414,0.18016,0.6576,0.4,1.3763,0.0622178,1.43949
50000000,39,50000000,2500,50,0,0.9,0.00506154,0.342088,0.245783,0.489657,0.3164,0.4016,2.58072,0.0385722,2.92566
50000000,40,50000000,2500,50,0,0.9,0.175356,0.336136,0.121393,0.257296,0.3136,0.366,0.850537,0.0568325,0.700971
50000000,41,50000000,2500,50,0,0.9,0.150716,0.267838,0.269795,0.0642413,0.7556,0.3004,0.564515,0.046506,0.571417
50000000,42,50000000,2500,50,0,0.9,0.29557,0.355303,0.192396,0.215448,0.4868,0.4052,0.550394,0.0723192,0.810875
50000000,43,50000000,2500,50,0,0.9,0.124452,0.129979,0.458159,0.184768,0.72,0.3696,2.10248,0.0282701,1.87971
50000000,44,50000000,2500,50,0,0.9,0.093592,0.0589334,0.31841,0.397452,0.454,0.464,2.98365,0.0169473,2.57906
50000000,45,50000000,2500,50,0,0.9,0.45925,0.070895,0.171033,0.0975945,0.6724,0.3548,0.518408,0.058905,0.447832
50000000,46,50000000,2500,50,0,0.9,0.131319,0.359541,0.383112,0.12836,0.7024,0.3628,1.05366,0.0545401,1.15861
50000000,47,50000000,2500,50,0,0.9,0.318574,0.379663,0.245507,0.0658258,0.7212,0.3364,0.727254,0.0775819,0.564736
50000000,48,50000000,2500,50,0,0.9,0.0534126,0.147475,0.261702,0.239343,0.5136,0.4484,1.56574,0.0223208,1.04892
50000000,49,50000000,2500,50,0,0.9,0.246043,0.198196,0.117668,0.4786,0.2104,0.2992,1.63577,0.0493599,1.59914
50000000,50,50000000,2500,50,0,0.9,0.164543,0.334206,0.370005,0.0224016,0.8696,0.1908,0.768579,0.0554165,0.737044
